XTC200 8 0 5.6859146361422757e-05 6.0082331516875385e-05 18.175073981285095 19.221071243286133 21.337196350097656 13398597 1 {'create_universe_u1': 0.09748363494873047, 'create_universe_u_before_loop': 0.08271503448486328, 'create_universe_u': 26.563209533691406, 'select_atoms': 0.0030541419982910156, 'write_trajectory': 170.7333481311798, 'com_parallel_dask_total': 21.337196350097656, 'client_compute_time': 20.834869861602783, 'calculations_time': 0.05286264419555664} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.7242892367588696e-05 5.928612620898298e-05 18.359957426786423 18.997196197509766 21.583713054656982 13398597 1 {'create_universe_u1': 0.09748363494873047, 'create_universe_u_before_loop': 0.08271503448486328, 'create_universe_u': 39.454938888549805, 'select_atoms': 0.0017380714416503906, 'write_trajectory': 170.7333481311798, 'com_parallel_dask_total': 21.583713054656982, 'client_compute_time': 21.09770965576172, 'calculations_time': 0.05298113822937012} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.660680418285573e-05 6.020999677943705e-05 18.23277086019516 19.25142002105713 21.810771703720093 13398597 1 {'create_universe_u1': 0.09748363494873047, 'create_universe_u_before_loop': 0.08271503448486328, 'create_universe_u': 48.44797205924988, 'select_atoms': 0.0017559528350830078, 'write_trajectory': 170.7333481311798, 'com_parallel_dask_total': 21.810771703720093, 'client_compute_time': 21.290436506271362, 'calculations_time': 0.059644460678100586} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.695128856537762e-05 6.0767466907487556e-05 18.254847198724747 19.212016820907593 21.573823928833008 13398597 1 {'create_universe_u1': 0.09636163711547852, 'create_universe_u_before_loop': 0.08013772964477539, 'create_universe_u': 26.27732014656067, 'select_atoms': 0.003396749496459961, 'write_trajectory': 171.38810467720032, 'com_parallel_dask_total': 21.573823928833008, 'client_compute_time': 21.095016956329346, 'calculations_time': 0.05064272880554199} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.749852696608495e-05 6.692200308344887e-05 18.42651516199112 20.921577215194702 22.630207538604736 13398597 1 {'create_universe_u1': 0.09636163711547852, 'create_universe_u_before_loop': 0.08013772964477539, 'create_universe_u': 41.3747718334198, 'select_atoms': 0.0030622482299804688, 'write_trajectory': 171.38810467720032, 'com_parallel_dask_total': 22.630207538604736, 'client_compute_time': 22.161547660827637, 'calculations_time': 0.04606056213378906} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.677170362852911e-05 5.940390396209272e-05 18.316264867782593 18.965160131454468 20.613564014434814 13398597 1 {'create_universe_u1': 0.09636163711547852, 'create_universe_u_before_loop': 0.08013772964477539, 'create_universe_u': 50.40698003768921, 'select_atoms': 0.0022056102752685547, 'write_trajectory': 171.38810467720032, 'com_parallel_dask_total': 20.613564014434814, 'client_compute_time': 20.114580392837524, 'calculations_time': 0.06262969970703125} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.6688302395194026e-05 6.369934464685382e-05 18.159086883068085 20.484670639038086 21.999802827835083 13398597 1 {'create_universe_u1': 0.09461355209350586, 'create_universe_u_before_loop': 0.07562875747680664, 'create_universe_u': 26.344017505645752, 'select_atoms': 0.003299236297607422, 'write_trajectory': 170.37456917762756, 'com_parallel_dask_total': 21.999802827835083, 'client_compute_time': 21.525715827941895, 'calculations_time': 0.055185794830322266} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.725213357876673e-05 6.948983780319035e-05 18.261984795331955 21.710248231887817 23.110270977020264 13398597 1 {'create_universe_u1': 0.09461355209350586, 'create_universe_u_before_loop': 0.07562875747680664, 'create_universe_u': 40.945250034332275, 'select_atoms': 0.0021865367889404297, 'write_trajectory': 170.37456917762756, 'com_parallel_dask_total': 23.110270977020264, 'client_compute_time': 22.62327265739441, 'calculations_time': 0.060724496841430664} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.5746521390591933e-05 6.0889861564918664e-05 17.724829614162445 19.242218732833862 21.4051251411438 13398597 1 {'create_universe_u1': 0.09461355209350586, 'create_universe_u_before_loop': 0.07562875747680664, 'create_universe_u': 51.34425234794617, 'select_atoms': 0.002210855484008789, 'write_trajectory': 170.37456917762756, 'com_parallel_dask_total': 21.4051251411438, 'client_compute_time': 20.90257692337036, 'calculations_time': 0.06770443916320801} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.6479911631093774e-05 6.317583962844327e-05 17.89309361577034 19.683740377426147 21.543840169906616 13398597 1 {'create_universe_u1': 0.09487295150756836, 'create_universe_u_before_loop': 0.07617521286010742, 'create_universe_u': 26.393561840057373, 'select_atoms': 0.0024776458740234375, 'write_trajectory': 169.78104758262634, 'com_parallel_dask_total': 21.543840169906616, 'client_compute_time': 21.064751625061035, 'calculations_time': 0.05787539482116699} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.667440214218602e-05 6.193094274039367e-05 18.027707189321518 19.435368537902832 21.253938674926758 13398597 1 {'create_universe_u1': 0.09487295150756836, 'create_universe_u_before_loop': 0.07617521286010742, 'create_universe_u': 40.24324321746826, 'select_atoms': 0.0023183822631835938, 'write_trajectory': 169.78104758262634, 'com_parallel_dask_total': 21.253938674926758, 'client_compute_time': 20.78473401069641, 'calculations_time': 0.059716224670410156} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
