XTC200 8 0 5.612437839521723e-05 5.8345345970210296e-05 17.973723381757736 18.547366619110107 20.932827711105347 13398597 1 {'create_universe_u1': 0.09716200828552246, 'create_universe_u_before_loop': 0.07787799835205078, 'create_universe_u': 26.252986669540405, 'select_atoms': 0.002989530563354492, 'write_trajectory': 169.74548029899597, 'com_parallel_dask_total': 20.932827711105347, 'client_compute_time': 20.678903818130493, 'calculations_time': 0.03936123847961426} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.6216074169351174e-05 5.8526072605771725e-05 18.034422636032104 18.785385131835938 20.900508165359497 13398597 1 {'create_universe_u1': 0.09716200828552246, 'create_universe_u_before_loop': 0.07787799835205078, 'create_universe_u': 40.10524320602417, 'select_atoms': 0.002105712890625, 'write_trajectory': 169.74548029899597, 'com_parallel_dask_total': 20.900508165359497, 'client_compute_time': 20.65177321434021, 'calculations_time': 0.036454200744628906} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.579411798426608e-05 5.7851020607083916e-05 17.974571734666824 18.665309190750122 20.611726760864258 13398597 1 {'create_universe_u1': 0.09716200828552246, 'create_universe_u_before_loop': 0.07787799835205078, 'create_universe_u': 50.45534372329712, 'select_atoms': 0.0019974708557128906, 'write_trajectory': 169.74548029899597, 'com_parallel_dask_total': 20.611726760864258, 'client_compute_time': 20.349703550338745, 'calculations_time': 0.04922676086425781} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.711398319438445e-05 6.143526214388239e-05 18.236003696918488 19.479377031326294 21.457881450653076 13398597 1 {'create_universe_u1': 0.09642243385314941, 'create_universe_u_before_loop': 0.07990336418151855, 'create_universe_u': 25.84121537208557, 'select_atoms': 0.003624439239501953, 'write_trajectory': 165.63054990768433, 'com_parallel_dask_total': 21.457881450653076, 'client_compute_time': 21.20629334449768, 'calculations_time': 0.0408475399017334} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.6860337315466684e-05 6.753628823931985e-05 18.146895617246628 21.174123525619507 23.584335803985596 13398597 1 {'create_universe_u1': 0.09642243385314941, 'create_universe_u_before_loop': 0.07990336418151855, 'create_universe_u': 41.28571033477783, 'select_atoms': 0.003016948699951172, 'write_trajectory': 165.63054990768433, 'com_parallel_dask_total': 23.584335803985596, 'client_compute_time': 23.341744899749756, 'calculations_time': 0.03538227081298828} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.654985477054834e-05 6.189398928419742e-05 18.20459595322609 20.040948152542114 21.939974308013916 13398597 1 {'create_universe_u1': 0.09642243385314941, 'create_universe_u_before_loop': 0.07990336418151855, 'create_universe_u': 54.91874933242798, 'select_atoms': 0.0028510093688964844, 'write_trajectory': 165.63054990768433, 'com_parallel_dask_total': 21.939974308013916, 'client_compute_time': 21.68573522567749, 'calculations_time': 0.04583287239074707} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.6589917860994596e-05 6.001195276668996e-05 18.239719420671463 19.281680822372437 20.843856811523438 13398597 1 {'create_universe_u1': 0.09581112861633301, 'create_universe_u_before_loop': 0.07875490188598633, 'create_universe_u': 26.545968294143677, 'select_atoms': 0.0031766891479492188, 'write_trajectory': 171.79750537872314, 'com_parallel_dask_total': 20.843856811523438, 'client_compute_time': 20.588338136672974, 'calculations_time': 0.03991508483886719} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.634771914877298e-05 5.8686147306709664e-05 18.222577422857285 19.15124773979187 20.633032083511353 13398597 1 {'create_universe_u1': 0.09581112861633301, 'create_universe_u_before_loop': 0.07875490188598633, 'create_universe_u': 43.480372190475464, 'select_atoms': 0.0020732879638671875, 'write_trajectory': 171.79750537872314, 'com_parallel_dask_total': 20.633032083511353, 'client_compute_time': 20.376431703567505, 'calculations_time': 0.0373835563659668} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 2 5.629549682467771e-05 6.261300323172917e-05 17.887736976146698 19.766560316085815 20.900237560272217 13398597 1 {'create_universe_u1': 0.09581112861633301, 'create_universe_u_before_loop': 0.07875490188598633, 'create_universe_u': 60.154335260391235, 'select_atoms': 0.002193927764892578, 'write_trajectory': 171.79750537872314, 'com_parallel_dask_total': 20.900237560272217, 'client_compute_time': 20.637301683425903, 'calculations_time': 0.04447531700134277} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 0 5.7691581385329826e-05 6.43811363692155e-05 18.52811136841774 20.265859127044678 22.213401317596436 13398597 1 {'create_universe_u1': 0.09811091423034668, 'create_universe_u_before_loop': 0.07843637466430664, 'create_universe_u': 25.87313938140869, 'select_atoms': 0.0036602020263671875, 'write_trajectory': 166.67007994651794, 'com_parallel_dask_total': 22.213401317596436, 'client_compute_time': 21.95322585105896, 'calculations_time': 0.0422062873840332} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 8 1 5.625766161264256e-05 5.7516207352213e-05 18.04962658882141 18.505570650100708 20.921126127243042 13398597 1 {'create_universe_u1': 0.09811091423034668, 'create_universe_u_before_loop': 0.07843637466430664, 'create_universe_u': 43.75567412376404, 'select_atoms': 0.0020830631256103516, 'write_trajectory': 166.67007994651794, 'com_parallel_dask_total': 20.921126127243042, 'client_compute_time': 20.674741744995117, 'calculations_time': 0.034922122955322266} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
